Entry	Reviewed	Gene Names	Proteomes	Gene Ontology (cellular component)
P08581	reviewed	MET	UP000005640: Chromosome 7	basal plasma membrane [GO:0009925]; cell surface [GO:0009986]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; receptor complex [GO:0043235]
P08582	reviewed	MELTF MAP97 MFI2	UP000005640: Chromosome 3	cell surface [GO:0009986]; early endosome [GO:0005769]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; side of membrane [GO:0098552]
P08588	reviewed	ADRB1 ADRB1R B1AR	UP000005640: Chromosome 10	early endosome [GO:0005769]; neuronal dense core vesicle [GO:0098992]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]
P08590	reviewed	MYL3	UP000005640: Chromosome 3	A band [GO:0031672]; cytosol [GO:0005829]; I band [GO:0031674]; muscle myosin complex [GO:0005859]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]
P08603	reviewed	CFH HF HF1 HF2	UP000005640: Chromosome 1	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase complex [GO:1905370]; symbiont cell surface [GO:0106139]
P08620	reviewed	FGF4 HST HSTF1 KS3	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P08621	reviewed	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	UP000005640: Chromosome 19	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P08631	reviewed	HCK	UP000005640: Chromosome 20	caveola [GO:0005901]; cell projection [GO:0042995]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]
P08637	reviewed	FCGR3A CD16A FCG3 FCGR3 IGFR3	UP000005640: Chromosome 1	external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Fc-gamma receptor III complex [GO:0033001]; plasma membrane [GO:0005886]
P08648	reviewed	ITGA5 FNRA	UP000005640: Chromosome 12	alphav-beta3 integrin-vitronectin complex [GO:0071062]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; integrin alpha5-beta1 complex [GO:0034674]; integrin complex [GO:0008305]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; ruffle [GO:0001726]
P08651	reviewed	NFIC NFI	UP000005640: Chromosome 19	chromatin [GO:0000785]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P08670	reviewed	VIM	UP000005640: Chromosome 10	axon [GO:0030424]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; microtubule organizing center [GO:0005815]; nuclear matrix [GO:0016363]; peroxisome [GO:0005777]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]
P08684	reviewed	CYP3A4 CYP3A3	UP000005640: Chromosome 7	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
P08686	reviewed	CYP21A2 CYP21 CYP21B	UP000005640: Chromosome 6	endoplasmic reticulum membrane [GO:0005789]
P08697	reviewed	SERPINF2 AAP PLI	UP000005640: Chromosome 17	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; platelet alpha granule lumen [GO:0031093]
P08700	reviewed	IL3	UP000005640: Chromosome 5	extracellular region [GO:0005576]; extracellular space [GO:0005615]
P08708	reviewed	RPS17 RPS17L	UP000005640: Chromosome 15	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]
P08709	reviewed	F7	UP000005640: Chromosome 13	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; serine-type peptidase complex [GO:1905286]; vesicle [GO:0031982]
P08727	reviewed	KRT19	UP000005640: Chromosome 17	apicolateral plasma membrane [GO:0016327]; cell periphery [GO:0071944]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; terminal web [GO:1990357]; Z disc [GO:0030018]
P08729	reviewed	KRT7 SCL	UP000005640: Chromosome 12	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; keratin filament [GO:0045095]; nucleus [GO:0005634]
P08754	reviewed	GNAI3	UP000005640: Chromosome 1	centrosome [GO:0005813]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; heterotrimeric G-protein complex [GO:0005834]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
P08758	reviewed	ANXA5 ANX5 ENX2 PP4	UP000005640: Chromosome 4	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endothelial microparticle [GO:0072563]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; membrane [GO:0016020]; sarcolemma [GO:0042383]; vesicle membrane [GO:0012506]
P08779	reviewed	KRT16 KRT16A	UP000005640: Chromosome 17	cornified envelope [GO:0001533]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; keratin filament [GO:0045095]; nucleus [GO:0005634]
P08833	reviewed	IGFBP1 IBP1	UP000005640: Chromosome 7	endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]
P08842	reviewed	STS ARSC1	UP000005640: Chromosome X	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; microneme membrane [GO:0033163]; plasma membrane [GO:0005886]
P08861	reviewed	CELA3B ELA3B	UP000005640: Chromosome 1	extracellular space [GO:0005615]
P08865	reviewed	RPSA LAMBR LAMR1	UP000005640: Chromosome 3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P08887	reviewed	IL6R	UP000005640: Chromosome 1	apical plasma membrane [GO:0016324]; ciliary neurotrophic factor receptor complex [GO:0070110]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interleukin-6 receptor complex [GO:0005896]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P08908	reviewed	HTR1A ADRB2RL1 ADRBRL1	UP000005640: Chromosome 5	dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]
P08910	reviewed	ABHD2 LABH2	UP000005640: Chromosome 15	acrosomal vesicle [GO:0001669]; sperm flagellum [GO:0036126]; sperm plasma membrane [GO:0097524]
P08912	reviewed	CHRM5	UP000005640: Chromosome 15	dendrite [GO:0030425]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]
P08913	reviewed	ADRA2A ADRA2R ADRAR	UP000005640: Chromosome 10	axon terminus [GO:0043679]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; dopaminergic synapse [GO:0098691]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; presynaptic active zone membrane [GO:0048787]; receptor complex [GO:0043235]
P08922	reviewed	ROS1 MCF3 ROS	UP000005640: Chromosome 6	membrane [GO:0016020]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P08949	reviewed	NMB	UP000005640: Chromosome 15	extracellular region [GO:0005576]; extracellular space [GO:0005615]; neuron projection [GO:0043005]
P08962	reviewed	CD63 MLA1 TSPAN30	UP000005640: Chromosome 12	azurophil granule membrane [GO:0035577]; cell surface [GO:0009986]; endosome lumen [GO:0031904]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; multivesicular body membrane [GO:0032585]; multivesicular body, internal vesicle [GO:0097487]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]
P08F94	reviewed	PKHD1 FCYT TIGM1	UP000005640: Chromosome 6	9+0 non-motile cilium [GO:0097731]; apical plasma membrane [GO:0016324]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P09012	reviewed	SNRPA	UP000005640: Chromosome 19	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
P09016	reviewed	HOXD4 HOX4B	UP000005640: Chromosome 2	cell junction [GO:0030054]; chromatin [GO:0000785]; nucleoplasm [GO:0005654]
P09017	reviewed	HOXC4 HOX3E	UP000005640: Chromosome 12	chromatin [GO:0000785]; nucleoplasm [GO:0005654]
P09038	reviewed	FGF2 FGFB	UP000005640: Chromosome 4	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]
P09067	reviewed	HOXB5 HOX2A	UP000005640: Chromosome 17	chromatin [GO:0000785]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P09086	reviewed	POU2F2 OCT2 OTF2	UP000005640: Chromosome 19	chromatin [GO:0000785]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P09104	reviewed	ENO2	UP000005640: Chromosome 12	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; perikaryon [GO:0043204]; phosphopyruvate hydratase complex [GO:0000015]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]
P09105	reviewed	HBQ1	UP000005640: Chromosome 16	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]
P09110	reviewed	ACAA1 ACAA PTHIO	UP000005640: Chromosome 3	cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; specific granule lumen [GO:0035580]
P09132	reviewed	SRP19	UP000005640: Chromosome 5	cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; signal recognition particle [GO:0048500]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]
P09172	reviewed	DBH	UP000005640: Chromosome 9	centriolar satellite [GO:0034451]; chromaffin granule lumen [GO:0034466]; chromaffin granule membrane [GO:0042584]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; secretory granule lumen [GO:0034774]; secretory granule membrane [GO:0030667]; synapse [GO:0045202]; transport vesicle membrane [GO:0030658]
P09210	reviewed	GSTA2 GST2	UP000005640: Chromosome 6	cytosol [GO:0005829]; extracellular exosome [GO:0070062]
P09211	reviewed	GSTP1 FAEES3 GST3	UP000005640: Chromosome 11	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; TRAF2-GSTP1 complex [GO:0097057]; vesicle [GO:0031982]
P09228	reviewed	CST2	UP000005640: Chromosome 20	cytoplasm [GO:0005737]; extracellular space [GO:0005615]; vesicle [GO:0031982]
P09234	reviewed	SNRPC	UP000005640: Chromosome 6	Cajal body [GO:0015030]; commitment complex [GO:0000243]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P09237	reviewed	MMP7 MPSL1 PUMP1	UP000005640: Chromosome 11	extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P09238	reviewed	MMP10 STMY2	UP000005640: Chromosome 11	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P09326	reviewed	CD48 BCM1 BLAST1	UP000005640: Chromosome 1	extracellular exosome [GO:0070062]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]
P09327	reviewed	VIL1 VIL	UP000005640: Chromosome 2	actin cytoskeleton [GO:0015629]; actin filament bundle [GO:0032432]; brush border [GO:0005903]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; filopodium [GO:0030175]; filopodium tip [GO:0032433]; lamellipodium [GO:0030027]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
P09341	reviewed	CXCL1 GRO GRO1 GROA MGSA SCYB1	UP000005640: Chromosome 4	extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]
P09382	reviewed	LGALS1	UP000005640: Chromosome 22	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; galectin complex [GO:1990724]
P09417	reviewed	QDPR DHPR SDR33C1	UP000005640: Chromosome 4	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]
P09429	reviewed	HMGB1 HMG1	UP000005640: Chromosome 13	alphav-beta3 integrin-HMGB1 complex [GO:0035868]; cell surface [GO:0009986]; condensed chromosome [GO:0000793]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endosome [GO:0005768]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; transcription repressor complex [GO:0017053]
P09430	reviewed	TNP1	UP000005640: Chromosome 2	male germ cell nucleus [GO:0001673]; nucleosome [GO:0000786]; nucleus [GO:0005634]
P09455	reviewed	RBP1 CRBP1	UP000005640: Chromosome 3	cytosol [GO:0005829]; lipid droplet [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P09466	reviewed	PAEP	UP000005640: Chromosome 9	extracellular region [GO:0005576]
P09467	reviewed	FBP1 FBP	UP000005640: Chromosome 9	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
P09471	reviewed	GNAO1	UP000005640: Chromosome 16	cell body [GO:0044297]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; heterotrimeric G-protein complex [GO:0005834]; plasma membrane [GO:0005886]
P09486	reviewed	SPARC ON	UP000005640: Chromosome 5	basement membrane [GO:0005604]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endocytic vesicle lumen [GO:0071682]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; nuclear matrix [GO:0016363]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; platelet alpha granule membrane [GO:0031092]
P09488	reviewed	GSTM1 GST1	UP000005640: Chromosome 1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]
P09493	reviewed	TPM1 C15orf13 TMSA	UP000005640: Chromosome 15	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; bleb [GO:0032059]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; muscle thin filament tropomyosin [GO:0005862]; ruffle membrane [GO:0032587]; sarcomere [GO:0030017]; stress fiber [GO:0001725]
P09496	reviewed	CLTA	UP000005640: Chromosome 9	clathrin coat [GO:0030118]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin vesicle coat [GO:0030125]; clathrin-coated endocytic vesicle [GO:0045334]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endolysosome membrane [GO:0036020]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynaptic endocytic zone cytoplasmic component [GO:0099631]; presynaptic endocytic zone membrane [GO:0098835]; spindle [GO:0005819]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network membrane [GO:0032588]
P09497	reviewed	CLTB	UP000005640: Chromosome 5	ciliary membrane [GO:0060170]; clathrin coat [GO:0030118]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin vesicle coat [GO:0030125]; clathrin-coated endocytic vesicle [GO:0045334]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]; postsynaptic endocytic zone cytoplasmic component [GO:0099631]; presynaptic endocytic zone membrane [GO:0098835]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]
P09525	reviewed	ANXA4 ANX4	UP000005640: Chromosome 2	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]; zymogen granule membrane [GO:0042589]
P09529	reviewed	INHBB	UP000005640: Chromosome 2	cell periphery [GO:0071944]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]
P09543	reviewed	CNP	UP000005640: Chromosome 17	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; microtubule [GO:0005874]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; myelin sheath abaxonal region [GO:0035748]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; pseudopodium [GO:0031143]; synapse [GO:0045202]
P09544	reviewed	WNT2 INT1L1 IRP	UP000005640: Chromosome 7	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Wnt signalosome [GO:1990909]
P09564	reviewed	CD7	UP000005640: Chromosome 17	membrane [GO:0016020]; plasma membrane [GO:0005886]
P09601	reviewed	HMOX1 HO HO1	UP000005640: Chromosome 22	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P09603	reviewed	CSF1	UP000005640: Chromosome 1	CSF1-CSF1R complex [GO:1990682]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nuclear body [GO:0016604]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P09619	reviewed	PDGFRB PDGFR PDGFR1	UP000005640: Chromosome 5	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P09622	reviewed	DLD GCSL LAD PHE3	UP000005640: Chromosome 7	acetyltransferase complex [GO:1902493]; acrosomal matrix [GO:0043159]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; motile cilium [GO:0031514]; nucleus [GO:0005634]; oxoglutarate dehydrogenase complex [GO:0045252]; pyruvate dehydrogenase complex [GO:0045254]
P09629	reviewed	HOXB7 HOX2C	UP000005640: Chromosome 17	chromatin [GO:0000785]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P09651	reviewed	HNRNPA1 HNRPA1	UP000005640: Chromosome 12	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
P09661	reviewed	SNRPA1	UP000005640: Chromosome 15	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small nuclear ribonucleoprotein complex [GO:0030532]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]
P09668	reviewed	CTSH CPSB	UP000005640: Chromosome 15	alveolar lamellar body [GO:0097208]; collagen-containing extracellular matrix [GO:0062023]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; multivesicular body lumen [GO:0097486]; secretory granule lumen [GO:0034774]; tertiary granule lumen [GO:1904724]
P09669	reviewed	COX6C	UP000005640: Chromosome 8	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]
P09681	reviewed	GIP	UP000005640: Chromosome 17	endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; secretory granule lumen [GO:0034774]
P09683	reviewed	SCT	UP000005640: Chromosome 11	extracellular region [GO:0005576]; extracellular space [GO:0005615]
P09693	reviewed	CD3G T3G	UP000005640: Chromosome 11	alpha-beta T cell receptor complex [GO:0042105]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; gamma-delta T cell receptor complex [GO:0042106]; plasma membrane [GO:0005886]
P09758	reviewed	TACSTD2 GA733-1 M1S1 TROP2	UP000005640: Chromosome 1	basal plasma membrane [GO:0009925]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; nucleus [GO:0005634]
P09769	reviewed	FGR SRC2	UP000005640: Chromosome 1	actin cytoskeleton [GO:0015629]; aggresome [GO:0016235]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; secretory granule lumen [GO:0034774]
P09848	reviewed	LCT LPH	UP000005640: Chromosome 2	external side of apical plasma membrane [GO:0098591]; plasma membrane [GO:0005886]
P09871	reviewed	C1S	UP000005640: Chromosome 12	blood microparticle [GO:0072562]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P09874	reviewed	PARP1 ADPRT PPOL	UP000005640: Chromosome 1	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear body [GO:0016604]; nuclear envelope [GO:0005635]; nuclear replication fork [GO:0043596]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; site of DNA damage [GO:0090734]; site of double-strand break [GO:0035861]; transcription regulator complex [GO:0005667]
P09884	reviewed	POLA1 POLA	UP000005640: Chromosome X	alpha DNA polymerase:primase complex [GO:0005658]; chromatin [GO:0000785]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P09912	reviewed	IFI6 G1P3	UP000005640: Chromosome 1	endoplasmic reticulum membrane [GO:0005789]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
P09913	reviewed	IFIT2 CIG-42 G10P2 IFI54 ISG54	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]
P09914	reviewed	IFIT1 G10P1 IFI56 IFNAI1 ISG56	UP000005640: Chromosome 10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; host cell [GO:0043657]
P09917	reviewed	ALOX5 LOG5	UP000005640: Chromosome 10	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; nuclear envelope [GO:0005635]; nuclear envelope lumen [GO:0005641]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; secretory granule lumen [GO:0034774]
